127.0.0.1 - - [29/Nov/2022:21:23:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:23:52 +0900] "GET /web HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:23:52 +0900] "GET /web/ HTTP/1.1" 200 3599
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:23:52 +0900] "GET /web/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:23:52 +0900] "GET /web/css/styles.css HTTP/1.1" 200 206998
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:23:52 +0900] "GET /web/css/styles.css?Tue%20Nov%2029%2021:23:52%20KST%202022 HTTP/1.1" 200 206998
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:23:52 +0900] "GET /web/css/common.css?Tue%20Nov%2029%2021:23:52%20KST%202022 HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:23:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:23:56 +0900] "GET /web/list.hr HTTP/1.1" 200 29177
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:23:56 +0900] "GET /web/css/common.css?Tue%20Nov%2029%2021:23:56%20KST%202022 HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:23:56 +0900] "GET /web/css/styles.css?Tue%20Nov%2029%2021:23:56%20KST%202022 HTTP/1.1" 200 206998
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:23:57 +0900] "GET /web/list.cu HTTP/1.1" 200 4482
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:23:57 +0900] "GET /web/css/styles.css?Tue%20Nov%2029%2021:23:57%20KST%202022 HTTP/1.1" 200 206998
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:23:57 +0900] "GET /web/css/common.css?Tue%20Nov%2029%2021:23:57%20KST%202022 HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:24:01 +0900] "GET /web/list.hr HTTP/1.1" 200 29177
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:24:01 +0900] "GET /web/css/common.css?Tue%20Nov%2029%2021:24:01%20KST%202022 HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:24:01 +0900] "GET /web/css/styles.css?Tue%20Nov%2029%2021:24:01%20KST%202022 HTTP/1.1" 200 206998
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:24:14 +0900] "GET /web/insert.hr HTTP/1.1" 200 3563
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:24:14 +0900] "POST /web/list.hr HTTP/1.1" 200 29177
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:24:14 +0900] "GET /web/css/styles.css?Tue%20Nov%2029%2021:24:14%20KST%202022 HTTP/1.1" 200 206998
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:24:14 +0900] "GET /web/css/common.css?Tue%20Nov%2029%2021:24:14%20KST%202022 HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:24:21 +0900] "GET /web/insert.hr HTTP/1.1" 200 3563
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:24:21 +0900] "POST /web/list.hr HTTP/1.1" 200 29177
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:24:21 +0900] "GET /web/css/common.css?Tue%20Nov%2029%2021:24:21%20KST%202022 HTTP/1.1" 200 1793
